id,platform,product_id,name,current_price,original_price,rating,review_count,store_name,category,details,image_url,crawled_at,last_updated,detail_url,data_source,source_keyword,is_fallback,crawl_timestamp,search_keyword,pages_crawled
1.0,Amazon,AMZ_NOTEBOOK_0001,Canon Action Camera Camera Notebook Model 1,2014.0,2071.0,4.4,3854,,Cameras & Photography,"""{\""megapixels\"": \""40\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_1.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38,,,,,,,
2.0,Amazon,AMZ_NOTEBOOK_0002,Sony Bridge Camera Notebook Model 2,1206.0,1479.0,3.6,48300,,Cameras & Photography,"""{\""megapixels\"": \""16\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_2.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38,,,,,,,
3.0,Amazon,AMZ_NOTEBOOK_0003,Nikon Bridge Camera Notebook Model 3,1928.0,2156.0,3.6,45031,,Cameras & Photography,"""{\""megapixels\"": \""37\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_3.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38,,,,,,,
4.0,Amazon,AMZ_NOTEBOOK_0004,Fujifilm Mirrorless Camera Notebook Model 4,2689.0,2977.0,3.9,43587,,Cameras & Photography,"""{\""megapixels\"": \""18\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_4.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38,,,,,,,
5.0,Amazon,AMZ_NOTEBOOK_0005,Fujifilm Bridge Camera Notebook Model 5,1909.0,2174.0,4.5,38313,,Cameras & Photography,"""{\""megapixels\"": \""37\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_5.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38,,,,,,,
6.0,Amazon,AMZ_NOTEBOOK_0006,Nikon Bridge Camera Notebook Model 6,1638.0,1900.0,3.7,21341,,Cameras & Photography,"""{\""megapixels\"": \""49\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_6.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38,,,,,,,
7.0,Amazon,AMZ_NOTEBOOK_0007,Fujifilm Action Camera Camera Notebook Model 7,2243.0,2416.0,3.6,1284,,Cameras & Photography,"""{\""megapixels\"": \""34\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_7.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38,,,,,,,
8.0,Amazon,AMZ_NOTEBOOK_0008,Nikon Bridge Camera Notebook Model 8,2788.0,2839.0,4.7,37327,,Cameras & Photography,"""{\""megapixels\"": \""24\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_8.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38,,,,,,,
9.0,Amazon,AMZ_NOTEBOOK_0009,Panasonic Bridge Camera Notebook Model 9,2845.0,2987.0,4.3,27804,,Cameras & Photography,"""{\""megapixels\"": \""48\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_9.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38,,,,,,,
10.0,Amazon,AMZ_NOTEBOOK_0010,Sony DSLR Camera Notebook Model 10,2840.0,3111.0,3.6,24819,,Cameras & Photography,"""{\""megapixels\"": \""30\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_10.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38,,,,,,,
