platform,product_id,name,current_price,original_price,rating,review_count,store_name,category,crawled_at,source_keyword,details,image_url,detail_url,crawl_timestamp,search_keyword
JD.com,JD_TRA_001_0000,trampoline JD商品 1-0,2702,3331.14,4.4,76559,JD自营,电子产品,2026-02-06 21:48:34,trampoline,,,,,
JD.com,JD_TRA_001_0001,trampoline JD商品 1-1,2629,3058.02,3.7,5755,品牌旗舰店,图书,2026-02-06 21:48:34,trampoline,,,,,
JD.com,JD_TRA_001_0002,trampoline JD商品 1-2,3409,3962.63,4.4,44355,授权专卖店,电子产品,2026-02-06 21:48:34,trampoline,,,,,
JD.com,JD_TRA_001_0003,trampoline JD商品 1-3,4194,5044.92,3.7,61622,品牌旗舰店,家居,2026-02-06 21:48:34,trampoline,,,,,
JD.com,JD_TRA_001_0004,trampoline JD商品 1-4,3978,4444.55,4.2,1933,授权专卖店,服装,2026-02-06 21:48:34,trampoline,,,,,
JD.com,JD_TRA_001_0005,trampoline JD商品 1-5,4373,5594.82,3.7,51070,授权专卖店,电子产品,2026-02-06 21:48:34,trampoline,,,,,
JD.com,JD_TRA_001_0006,trampoline JD商品 1-6,1846,2359.16,4.0,28703,JD自营,服装,2026-02-06 21:48:34,trampoline,,,,,
JD.com,JD_TRA_001_0007,trampoline JD商品 1-7,3022,3801.64,4.7,38373,品牌旗舰店,家居,2026-02-06 21:48:34,trampoline,,,,,
JD.com,JD_TRA_001_0008,trampoline JD商品 1-8,921,1153.6,4.7,48413,品牌旗舰店,服装,2026-02-06 21:48:34,trampoline,,,,,
JD.com,JD_TRA_001_0009,trampoline JD商品 1-9,2466,2713.46,4.6,26968,JD自营,服装,2026-02-06 21:48:34,trampoline,,,,,
JD.com,JD_TRA_002_0000,trampoline JD商品 2-0,3065,3490.2,4.1,57488,授权专卖店,图书,2026-02-06 21:48:39,trampoline,,,,,
JD.com,JD_TRA_002_0001,trampoline JD商品 2-1,2543,3016.85,4.8,5837,品牌旗舰店,运动户外,2026-02-06 21:48:39,trampoline,,,,,
JD.com,JD_TRA_002_0002,trampoline JD商品 2-2,4271,4926.45,4.5,88194,品牌旗舰店,服装,2026-02-06 21:48:39,trampoline,,,,,
JD.com,JD_TRA_002_0003,trampoline JD商品 2-3,1012,1236.38,4.4,36018,品牌旗舰店,服装,2026-02-06 21:48:39,trampoline,,,,,
JD.com,JD_TRA_002_0004,trampoline JD商品 2-4,3372,3990.7,4.2,94819,品牌旗舰店,运动户外,2026-02-06 21:48:39,trampoline,,,,,
JD.com,JD_TRA_002_0005,trampoline JD商品 2-5,4927,6106.83,4.2,9261,品牌旗舰店,家居,2026-02-06 21:48:39,trampoline,,,,,
JD.com,JD_TRA_002_0006,trampoline JD商品 2-6,1182,1418.59,3.5,40710,品牌旗舰店,服装,2026-02-06 21:48:39,trampoline,,,,,
JD.com,JD_TRA_003_0000,trampoline JD商品 3-0,2039,2455.36,4.5,40547,JD自营,运动户外,2026-02-06 21:48:44,trampoline,,,,,
JD.com,JD_TRA_003_0001,trampoline JD商品 3-1,4112,5257.39,4.8,14310,授权专卖店,图书,2026-02-06 21:48:44,trampoline,,,,,
JD.com,JD_TRA_003_0002,trampoline JD商品 3-2,3614,4360.93,3.6,44589,JD自营,电子产品,2026-02-06 21:48:44,trampoline,,,,,
JD.com,JD_TRA_003_0003,trampoline JD商品 3-3,1791,2137.89,4.0,95386,JD自营,服装,2026-02-06 21:48:44,trampoline,,,,,
JD.com,JD_TRA_003_0004,trampoline JD商品 3-4,2215,2594.28,4.2,40229,JD自营,图书,2026-02-06 21:48:44,trampoline,,,,,
JD.com,JD_TRA_003_0005,trampoline JD商品 3-5,3383,4190.92,4.6,37461,JD自营,服装,2026-02-06 21:48:44,trampoline,,,,,
JD.com,JD_TRA_003_0006,trampoline JD商品 3-6,3798,4566.44,4.5,57662,JD自营,服装,2026-02-06 21:48:44,trampoline,,,,,
JD.com,JD_TRA_003_0007,trampoline JD商品 3-7,2288,2841.43,4.6,12445,JD自营,家居,2026-02-06 21:48:44,trampoline,,,,,
JD.com,JD_TRA_004_0000,trampoline JD商品 4-0,3690,4331.13,4.6,80605,品牌旗舰店,服装,2026-02-06 21:48:49,trampoline,,,,,
JD.com,JD_TRA_004_0001,trampoline JD商品 4-1,4814,5607.88,3.9,56399,品牌旗舰店,电子产品,2026-02-06 21:48:49,trampoline,,,,,
JD.com,JD_TRA_004_0002,trampoline JD商品 4-2,4691,6028.16,4.4,82887,授权专卖店,家居,2026-02-06 21:48:49,trampoline,,,,,
JD.com,JD_TRA_004_0003,trampoline JD商品 4-3,3835,4354.04,3.9,40951,JD自营,图书,2026-02-06 21:48:49,trampoline,,,,,
JD.com,JD_TRA_004_0004,trampoline JD商品 4-4,978,1099.92,4.1,88524,授权专卖店,图书,2026-02-06 21:48:49,trampoline,,,,,
JD.com,JD_TRA_004_0005,trampoline JD商品 4-5,4430,5286.04,4.1,14523,JD自营,服装,2026-02-06 21:48:49,trampoline,,,,,
JD.com,JD_TRA_004_0006,trampoline JD商品 4-6,1114,1387.01,3.9,41479,品牌旗舰店,运动户外,2026-02-06 21:48:49,trampoline,,,,,
JD.com,JD_TRA_004_0007,trampoline JD商品 4-7,3404,4139.91,4.8,38076,JD自营,电子产品,2026-02-06 21:48:49,trampoline,,,,,
JD.com,JD_TRA_005_0000,trampoline JD商品 5-0,920,1094.92,4.2,50428,授权专卖店,电子产品,2026-02-06 21:48:54,trampoline,,,,,
JD.com,JD_TRA_005_0001,trampoline JD商品 5-1,3725,4235.84,4.0,74772,品牌旗舰店,家居,2026-02-06 21:48:54,trampoline,,,,,
JD.com,JD_TRA_005_0002,trampoline JD商品 5-2,3982,5003.99,4.5,63183,授权专卖店,运动户外,2026-02-06 21:48:54,trampoline,,,,,
JD.com,JD_TRA_005_0003,trampoline JD商品 5-3,1025,1285.56,4.4,12303,JD自营,图书,2026-02-06 21:48:54,trampoline,,,,,
JD.com,JD_TRA_005_0004,trampoline JD商品 5-4,2325,2584.65,4.0,51500,JD自营,图书,2026-02-06 21:48:54,trampoline,,,,,
JD.com,JD_TRA_005_0005,trampoline JD商品 5-5,4562,5753.11,3.7,54763,品牌旗舰店,电子产品,2026-02-06 21:48:54,trampoline,,,,,
JD.com,JD_TRA_005_0006,trampoline JD商品 5-6,1636,1865.21,4.1,16570,JD自营,电子产品,2026-02-06 21:48:54,trampoline,,,,,
JD.com,JD_TRA_006_0000,trampoline JD商品 6-0,4899,6249.88,4.5,60333,品牌旗舰店,运动户外,2026-02-06 21:48:59,trampoline,,,,,
JD.com,JD_TRA_006_0001,trampoline JD商品 6-1,3703,4454.09,4.2,84809,品牌旗舰店,运动户外,2026-02-06 21:48:59,trampoline,,,,,
JD.com,JD_TRA_006_0002,trampoline JD商品 6-2,1386,1611.9,4.4,9767,JD自营,运动户外,2026-02-06 21:48:59,trampoline,,,,,
JD.com,JD_TRA_006_0003,trampoline JD商品 6-3,2565,2988.1,3.7,15775,授权专卖店,家居,2026-02-06 21:48:59,trampoline,,,,,
JD.com,JD_TRA_006_0004,trampoline JD商品 6-4,2742,3089.45,3.9,21142,JD自营,服装,2026-02-06 21:48:59,trampoline,,,,,
JD.com,JD_TRA_006_0005,trampoline JD商品 6-5,1427,1781.43,4.8,45417,授权专卖店,运动户外,2026-02-06 21:48:59,trampoline,,,,,
JD.com,JD_TRA_006_0006,trampoline JD商品 6-6,3695,4319.4,4.9,16483,JD自营,电子产品,2026-02-06 21:48:59,trampoline,,,,,
